,SEC_CODE,ABBREVIATED_NAME,GICS_SECTOR_CODE,SECTOR_CODE,SECTOR
0,13S,13 SEEDS            ,99999999,99,N/A
1,14D,1414 DEGREES LIMITED,20100000,20,Industrials
2,1AD,ADALTA LIMITED      ,35200000,35,Health Care
3,1AE,AURORAENERGYMETALS  ,15104000,15,Materials
4,1AG,ALTERRA LIMITED     ,30200000,30,Consumer Staples
5,1AL,ONEALL IN LIMITED   ,25200000,25,Consumer Discretionary
6,1CG,ONE CLICK GROUP LTD ,20100000,20,Industrials
7,1MC,MORELLA CORPORATION ,15104000,15,Materials
8,1PG,1-PAGE LTD          ,45100000,45,Information Technology
9,1SK,SING KEE KAYA LTD   ,00000000,00,
10,1ST,1ST GROUP LTD       ,35100000,35,Health Care
11,1VG,VICTORY GOLDFIELDS  ,15104000,15,Materials
12,218,ROFINA GROUP LIMITED,00000000,00,
13,29M,29METALSLIMITED     ,15104000,15,Materials
14,2BE,TUBI LIMITED        ,10100000,10,Energy
15,360,LIFE360 INC.        ,45100000,45,Information Technology
16,3DA,AMAERO INTERNATIONAL,20100000,20,Industrials
17,3DM,3D MEDICAL LTD      ,35100000,35,Health Care
18,3DP,POINTERRA LIMITED   ,45100000,45,Information Technology
19,3GC,3G COAL LIMITED     ,15104000,15,Materials
20,3MF,3D METALFORGE       ,20200000,20,Industrials
21,3PL,3P LEARNING LTD     ,25300000,25,Consumer Discretionary
22,3PT,THIRD PARTY TECH    ,99999999,99,N/A
23,4CE,FORCE COM LTD       ,15104000,15,Materials
24,4DI,4D INFRA            ,00000000,00,
25,4DS,4DS MEMORY LIMITED  ,45300000,45,Information Technology
26,4DX,4DMEDICAL LIMITED   ,35100000,35,Health Care
27,4WD,AUTO SOLUTIONS LTD  ,25100000,25,Consumer Discretionary
28,5EA,5EADVANCED          ,15104000,15,Materials
29,5GG,PENTANET            ,50100000,50,Communication Services
30,5GN,5G NETWORKS LIMITED ,50100000,50,Communication Services
31,789,789 HOLDINGS LTD    ,00000000,00,
32,819,SANHE BLDG TECH     ,00000000,00,
33,833,WEST COAST          ,00000000,00,
34,868,AUST SANTIA JINNAI  ,00000000,00,
35,88A,AHP Group Limited   ,00000000,00,
36,88E,88 ENERGY LTD       ,10100000,10,Energy
37,899,G-LINK              ,00000000,00,
38,8AU,8AULTD              ,15104000,15,Materials
39,8CO,8COMMON LIMITED     ,45100000,45,Information Technology
40,8EC,8IP EMERG CO LTD    ,00000000,00,
41,8EP,E-PLUS LTD          ,00000000,00,
42,8HF,HONGFA GRP AUS LTD  ,00000000,00,
43,8IH,8I HOLDINGS LTD     ,40200000,40,Financials
44,8SA,AUST SAMLY HOLDINGS ,00000000,00,
45,8TM,TORQUE METALS LTD   ,00000000,00,
46,8VI,8VI HOLDINGS LIMITED,25300000,25,Consumer Discretionary
47,8ZH,ZHONGHUANYUN        ,00000000,00,
48,92E,92ENERGY            ,10100000,10,Energy
49,99L,99 LOYALTY LTD.     ,45100000,45,Information Technology
50,9SP,9 SPOKES INT LIMITED,45100000,45,Information Technology
51,A01,ANGY (CHINA) MEDICAL,00000000,00,
52,A11,ATLANTIC LITHIUM    ,15104000,15,Materials
53,A1C,AIC RESOURCES       ,15104000,15,Materials
54,A1E,ANTIPODES EMERG MKT ,00000000,00,
55,A1G,AFRICAN GOLD LTD.   ,15104000,15,Materials
56,A1M,AIC MINES LTD       ,15104000,15,Materials
57,A20,BETAAUSTRALIA200ETF ,00000000,00,
58,A28,A2M DUMMY TORESS    ,99999999,99,N/A
59,A2A,A2A GN LTD          ,00000000,00,
60,A2B,A2B AUSTRALIA LTD   ,20300000,20,Industrials
61,A2H,ANTI-AGING HOUSE    ,00000000,00,
62,A2M,THE A2 MILK COMPANY ,30200000,30,Consumer Staples
63,A3D,AURORA LABS LIMITED ,20100000,20,Industrials
64,A40,ALITARES            ,15104000,15,Materials
65,A4N,ALPHA HPA LTD       ,15100000,15,Materials
66,A50,CHINA A50           ,99999999,99,N/A
67,A88,ADVANCETC LIMITED   ,00000000,00,
68,A8G,AUSTRALASIAN METALS ,15104000,15,Materials
69,AA1,ALINTA OPTION/BASKET,99999999,99,N/A
70,AAA,BETASHARESCASHETF   ,00000000,00,
71,AAC,AUSTRALIAN AGRICULT.,30200000,30,Consumer Staples
72,AAD,ARDENT LEISURE GROUP,25300000,25,Consumer Discretionary
73,AAF,ALEXANDER           ,00000000,00,
74,AAI,ALCOA INC.          ,15104000,15,Materials
75,AAJ,ARUMA RESOURCES LTD ,15104000,15,Materials
76,AAK,AUSTRALIA CHINA HOLD,60100000,60,Real Estate
77,AAL,APAC COAL           ,10100000,10,Energy
78,AAM,AUS INDUSTRIAL MIN  ,99999999,99,N/A
79,AAP,AUSTRALIAN AGRI LTD ,30200000,30,Consumer Staples
80,AAR,ASTRAL RESOURCES NL ,15104000,15,Materials
81,AAS,AIRLIE AUS FUND     ,00000000,00,
82,AAT,AUST ADVENT TOURISM ,00000000,00,
83,AAU,ANTILLES GOLD LTD   ,15104000,15,Materials
84,AAW,ARCADIA WORLDWIDE   ,00000000,00,
85,AAX,AUSENCO LIMITED     ,20100000,20,Industrials
86,AB1,ABARTARESOURCES     ,15104000,15,Materials
87,AB9,AOBO ENVIRO TECH    ,00000000,00,
88,ABA,AUSWIDE BANK LTD    ,40100000,40,Financials
89,ABB,AUSSIE BROADBAND    ,50100000,50,Communication Services
90,ABC,ADBRI LIMITED       ,15100000,15,Materials
91,ABE,AUSBONDEXCHANGE     ,40200000,40,Financials
92,ABF,AUSMANI LTD         ,25400000,25,Consumer Discretionary
93,ABL,ABILENE OIL & GAS   ,10100000,10,Energy
94,ABM,RBS ALTERNATIVE INV ,00000000,00,
95,ABP,ABACUS PROPERTY GRP.,60101000,60,Real Estate
96,ABR,AMERICAN PACIFIC    ,15104000,15,Materials
97,ABT,ABUNDANT PRODUCE LTD,30200000,30,Consumer Staples
98,ABU,ABM RESOURCES NL    ,15104000,15,Materials
99,ABV,ADV BRAKING TECH LTD,25100000,25,Consumer Discretionary
100,ABW,AURORA ABSOLUTE     ,00000000,00,
101,ABX,ABX GROUP LIMITED   ,15104000,15,Materials
102,ABY,ADORE BEAUTY        ,25500000,25,Consumer Discretionary
103,AC1,AIR CHANGE INTL     ,00000000,00,
104,AC8,AUSCANN GRP HLGS LTD,35200000,35,Health Care
105,ACA,IAML                ,00000000,00,
106,ACB,A-CAP ENERGY LTD    ,10100000,10,Energy
107,ACC,IAML                ,00000000,00,
108,ACD,GBLX BATT TECH LITH ,00000000,00,
109,ACE,ACUSENSUS LIMITED.  ,45100000,45,Information Technology
110,ACF,ACROW FORMWORK      ,20100000,20,Industrials
111,ACG,ATCOR MEDICAL       ,35100000,35,Health Care
112,ACI,ANCHOR CAP INV      ,00000000,00,
113,ACK,AUSTOCK GROUP LTD   ,40300000,40,Financials
114,ACL,AU CLINICAL LABS    ,35100000,35,Health Care
115,ACO,AUST CAREERS NETWORK,25300000,25,Consumer Discretionary
116,ACP,AUDALIA RES LTD     ,15104000,15,Materials
117,ACQ,ACORN CAP INV FUND  ,00000000,00,
118,ACR,ACRUX LIMITED       ,35200000,35,Health Care
119,ACS,ACCENT RESOURCES NL ,15104000,15,Materials
120,ACT,ACTCEL INTL GROUP   ,00000000,00,
121,ACU,ACUMENTIS GROUP LTD ,60100000,60,Real Estate
122,ACW,ACTINOGEN MEDICAL   ,35200000,35,Health Care
123,ACX,ACONEX LIMITED      ,45100000,45,Information Technology
124,ACY,ARMYTAGE AUST       ,00000000,00,
125,AD1,AD1 HOLDINGS LIMITED,50200000,50,Communication Services
126,AD8,AUDINATEGROUPLTD    ,45200000,45,Information Technology
127,ADA,ADACEL TECHNOLOGIES ,45100000,45,Information Technology
128,ADC,ACDC METALS LTD     ,15104000,15,Materials
129,ADD,ADAVALE RESOURCE LTD,10100000,10,Energy
130,ADE,APOSTLEDUNDASGLOBAL ,00000000,00,
131,ADG,ADELONG GOLD LIMITED,15104000,15,Materials
132,ADH,ADAIRS LIMITED      ,25500000,25,Consumer Discretionary
133,ADI,DEXUS INDUSTRIA REIT,60101000,60,Real Estate
134,ADJ,ADSLOT LTD          ,45100000,45,Information Technology
135,ADM,ANDEAN              ,15104000,15,Materials
136,ADN,ANDROMEDA METALS LTD,15104000,15,Materials
137,ADO,ANTEOTECH LTD       ,35200000,35,Health Care
138,ADQ,ADG GLOBAL SUPPLY.  ,20100000,20,Industrials
139,ADR,ADHERIUM LTD        ,35100000,35,Health Care
140,ADS,ADSLOT LTD.         ,45100000,45,Information Technology
141,ADT,ADRIATIC METALS     ,15104000,15,Materials
142,ADV,ARDIDEN LTD         ,15104000,15,Materials
143,ADX,ADX ENERGY LTD      ,10100000,10,Energy
144,ADY,ADMIRALTY RESOURCES.,15104000,15,Materials
145,AE1,AERISON             ,20100000,20,Industrials
146,AEA,AE HIGH CONV FUND   ,00000000,00,
147,AEB,AFFINITY ENERGY     ,35200000,35,Health Care
148,AED,AED OIL LIMITED     ,10100000,10,Energy
149,AEE,AURA ENERGY         ,10100000,10,Energy
150,AEF,AUSTRALIAN ETHICAL  ,40200000,40,Financials
151,AEG,ABSOLUTE EQUITY PERF,00000000,00,
152,AEI,AERIS ENVIRONMENTAL ,20200000,20,Industrials
153,AEJ,REDBANK ENERGY LTD  ,55100000,55,Utilities
154,AEK,ANATOLIA ENERGY LTD ,10100000,10,Energy
155,AEN,AERAMENTUM RESOURCES,15104000,15,Materials
156,AER,AEERIS LTD          ,50200000,50,Communication Services
157,AES,ISHARES GLB BOND ESG,00000000,00,
158,AET,AUST ETHICAL INVEST ,00000000,00,
159,AEV,AVENIRA LIMITED     ,15104000,15,Materials
160,AF1,AFG 2019-2 TRUST    ,00000000,00,
161,AF2,AFG 2020-1NC TRUST  ,00000000,00,
162,AF3,AFG 2022-2 TRUST    ,00000000,00,
163,AFA,ASF GROUP LIMITED   ,40200000,40,Financials
164,AFG,AUST FINANCE GRP    ,40100000,40,Financials
165,AFI,AUSTRALIAN FOUNDAT. ,00000000,00,
166,AFJ,AFFINITY EDU GRP LTD,25300000,25,Consumer Discretionary
167,AFL,AF LEGAL GROUP LTD  ,20200000,20,Industrials
168,AFM,ATLAS FUNDS (OMIFL) ,00000000,00,
169,AFO,AUS UNITED RETAILERS,99999999,99,N/A
170,AFP,AFT PHARMACEUTICALS ,35200000,35,Health Care
171,AFR,AFRICAN ENERGY RES  ,10100000,10,Energy
172,AFT,AFT CORPORATION     ,45200000,45,Information Technology
173,AFW,APPLYFLOW LIMITED   ,50200000,50,Communication Services
174,AFY,AFTERPAY HOLDINGS   ,45100000,45,Information Technology
175,AFZ,ABRDN AUS LTD       ,00000000,00,
176,AG1,AUST SUNNY GLASS    ,00000000,00,
177,AG2,AGL OPTION/BASKET.  ,99999999,99,N/A
178,AGA,ALTRINSIC GBL ADVISR,00000000,00,
179,AGC,AGC LTD             ,15104000,15,Materials
180,AGD,AUSTRAL GOLD        ,15104000,15,Materials
181,AGE,ALLIGATOR ENERGY    ,10100000,10,Energy
182,AGF,AMP CAPITAL CHINA   ,40200000,40,Financials
183,AGG,ANGLOGOLD ASHANTI   ,15104000,15,Materials
184,AGH,ALTHEA GROUP        ,35200000,35,Health Care
185,AGI,AINSWORTH GAME TECH.,25300000,25,Consumer Discretionary
186,AGJ,AGRICULTURAL LAND   ,60101000,60,Real Estate
187,AGL,AGL ENERGY LIMITED. ,55100000,55,Utilities
188,AGM,AUSTRALIANGOVERNANCE,00000000,00,
189,AGN,ARGENICA            ,35200000,35,Health Care
190,AGO,ATLAS IRON LIMITED  ,15104000,15,Materials
191,AGP,PFSL ATF AGP FUND   ,00000000,00,
192,AGR,AGUIA RES LTD       ,15104000,15,Materials
193,AGS,ALLIANCE RESOURCES  ,15104000,15,Materials
194,AGT,ALLIANCE GLOB CAP   ,00000000,00,
195,AGV,BETAAUSGOVBONDETF   ,00000000,00,
196,AGX,ANTIPODES GLOBAL    ,00000000,00,
197,AGY,ARGOSY MINERALS LTD ,15104000,15,Materials
198,AHA,AG FINANCIAL        ,40200000,40,Financials
